timestamp,window_id,tau_sec,moneyness,vol_annualized,ofi,z,p_model,p_model_shadow,p_market,realized_up
1788864516.0135605,5962881,84.16,1.0,0.65,1.0,0.1195,0.5475,,0.53,1
1788864517.0646377,5962881,82.98,1.0,0.65,1.0,0.1195,0.5475,,0.53,1
1788864518.123536,5962881,81.92,1.0,0.65,1.0,0.1195,0.5476,,0.53,1
1788864519.1721044,5962881,80.88,1.0,0.65,1.0,0.1195,0.5476,,0.55,1
1788864520.2196224,5962881,79.83,1.0,0.65,0.9155,0.1093,0.5435,,0.55,1
1788864521.2701662,5962881,78.78,1.0,0.65,0.2738,0.0323,0.5129,,0.54,1
1788864522.338024,5962881,77.73,1.0,0.65,0.2159,0.0254,0.5101,,0.52,1
1788864523.3938227,5962881,76.65,1.0,0.65,0.0325,0.0034,0.5014,,0.54,1
1788864524.4498937,5962881,75.6,1.0,0.5975,0.1616,0.0189,0.5076,,0.57,1
1788864525.5056372,5962881,74.54,1.0,0.5975,0.1616,0.0189,0.5076,,0.57,1
1788864526.5659785,5962881,73.48,1.0,0.5149,0.1771,0.0209,0.5083,,0.6,1
1788864527.6237898,5962881,72.42,1.0,0.4827,0.1771,0.0209,0.5083,,0.6,1
1788864528.6719184,5962881,71.37,1.0,0.4553,0.8166,0.0977,0.5389,,0.6,1
1788864529.7245512,5962881,70.32,1.0,0.432,0.8175,0.0978,0.5389,,0.63,1
1788864530.7848263,5962881,69.27,1.0,0.4122,0.8305,0.0994,0.5396,,0.58,1
1788864531.8329015,5962881,68.21,1.0,0.3954,0.869,0.104,0.5414,,0.6,1
1788864532.9147406,5962881,67.16,1.000024,0.3811,0.8618,0.1461,0.5581,,0.61,1
1788864533.9779222,5962881,66.08,1.000036,0.3689,0.976,0.1888,0.5749,,0.67,1
1788864535.0247543,5962881,65.02,1.000036,0.3586,0.9762,0.1913,0.5759,,0.66,1
1788864536.0857954,5962881,63.96,1.000036,0.3498,0.9762,0.1937,0.5768,,0.65,1
1788864537.1400907,5962881,62.91,1.000036,0.336,0.9764,0.1973,0.5782,,0.58,1
1788864538.191725,5962881,61.85,1.000036,0.336,0.9764,0.1979,0.5785,,0.56,1
1788864539.2460005,5962881,60.8,1.000036,0.326,0.9772,0.2011,0.5797,,0.55,1
1788864540.3124676,5962881,59.74,1.000036,0.3221,0.9772,0.2027,0.5803,,0.56,1
1788864541.370714,5962881,58.68,1.000036,0.3188,0.9675,0.2032,0.5805,,0.65,1
1788864542.416782,5962881,57.63,1.000036,0.316,0.9667,0.2046,0.581,,0.67,1
1788864543.4728508,5962881,56.58,1.000036,0.3136,0.9592,0.2006,0.5795,,0.68,1
1788864544.5318825,5962881,55.51,1.000036,0.3115,0.9592,0.202,0.58,,0.69,1
1788864545.575325,5962881,54.47,1.000038,0.3098,0.9602,0.2075,0.5822,,0.77,1
1788864546.631516,5962881,53.42,1.000038,0.3098,0.9602,0.2084,0.5825,,0.77,1
1788864547.6886294,5962881,52.36,1.000038,0.3071,0.9602,0.2104,0.5833,,0.73,1
1788864548.7614756,5962881,51.3,1.000038,0.306,0.9602,0.2117,0.5838,,0.75,1
1788864549.811667,5962881,50.23,1.000038,0.3051,0.9605,0.213,0.5843,,0.76,1
1788864550.8704453,5962881,49.17,1.000038,0.3043,0.9607,0.2143,0.5849,,0.72,1
1788864551.9429584,5962881,48.11,1.000038,0.3037,0.9655,0.2162,0.5856,,0.78,1
1788864553.001341,5962881,47.05,1.000038,0.3031,0.9676,0.2185,0.5865,,0.79,1
1788864554.0515516,5962881,46.0,1.000061,0.3027,0.9759,0.2852,0.6123,,0.9,1
1788864555.1131902,5962881,44.93,1.000061,0.3023,0.9771,0.2905,0.6143,,0.91,1
1788864556.1724305,5962881,43.87,1.000061,0.3019,0.9771,0.2927,0.6151,,0.92,1
1788864557.2223125,5962881,42.83,1.000061,0.3016,0.9771,0.2948,0.6159,,0.92,1
1788864558.2791266,5962881,41.77,1.000061,0.3012,0.9727,0.2967,0.6167,,0.91,1
1788864559.3434446,5962881,40.71,1.000061,0.3012,0.9715,0.2989,0.6175,,0.92,1
1788864560.3949897,5962881,39.65,1.000061,0.3009,0.9715,0.3015,0.6185,,0.92,1
1788864561.444418,5962881,38.6,1.000087,0.3007,0.9725,0.3838,0.6494,,0.93,1
1788864562.5188308,5962881,37.52,1.000087,0.3006,0.9642,0.3865,0.6505,,0.95,1
1788864563.569825,5962881,36.48,1.000087,0.3005,0.9642,0.3904,0.6519,,0.94,1
