timestamp,window_id,tau_sec,outcome,z,p_model,direct_ask,direct_spread,real_edge,hurdle,status,size_usd
1788865397.7140675,5962884,102.43,NONE,-0.1206,0.452,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865398.771609,5962884,101.28,NONE,-0.0899,0.4642,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865399.8219044,5962884,100.23,NONE,-0.0898,0.4642,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865400.870225,5962884,99.18,NONE,-0.0913,0.4636,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865401.918993,5962884,98.12,NONE,-0.1565,0.4378,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865402.9671338,5962884,97.08,NONE,-0.1989,0.4212,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865404.0244708,5962884,96.02,NONE,-0.1985,0.4213,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865405.0931504,5962884,94.97,NONE,-0.2055,0.4186,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865406.1398733,5962884,93.91,NONE,-0.2127,0.4158,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865407.1925445,5962884,92.85,NONE,-0.2131,0.4156,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865408.2487273,5962884,91.8,NONE,-0.2266,0.4104,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865409.3004506,5962884,90.74,NONE,-0.2177,0.4138,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865410.3542006,5962884,89.69,NONE,-0.2222,0.4121,0.0,0.0,0.0,0.0,BLOCKED_NOISE,0.0
1788865411.4171424,5962884,88.64,NO,-0.4101,0.6591,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865412.4671805,5962884,87.58,NO,-0.401,0.6558,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865413.521786,5962884,86.53,NO,-0.412,0.6598,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865414.5750568,5962884,85.48,NO,-0.4227,0.6637,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865415.6610832,5962884,84.42,NO,-0.4382,0.6694,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865416.713282,5962884,83.34,NO,-0.4487,0.6732,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865417.7697124,5962884,82.28,NO,-0.4583,0.6766,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865418.8283684,5962884,81.22,NO,-0.4509,0.674,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865419.8763497,5962884,80.17,NO,-0.4592,0.677,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865420.929348,5962884,79.12,NO,-0.6322,0.7364,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865421.9792545,5962884,78.07,NO,-0.6401,0.739,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865423.0266917,5962884,77.02,NO,-0.6475,0.7414,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865424.075318,5962884,75.97,NO,-0.6563,0.7442,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865425.127017,5962884,74.92,NO,-0.6646,0.7469,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865426.1738582,5962884,73.87,NO,-0.6724,0.7493,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865427.2244809,5962884,72.82,NO,-0.6822,0.7524,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865428.2755756,5962884,71.77,NO,-0.6889,0.7546,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865429.3486025,5962884,70.71,NO,-0.6955,0.7566,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865430.3937747,5962884,69.65,NO,-0.7001,0.7581,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
1788865431.4505618,5962884,68.6,NO,-0.6981,0.7574,0.0,0.0,0.0,0.035,BLOCKED_PHANTOM,0.0
